"
	Can’t access my messages from my iPhone
","May 10, 2021  04:35:50 PM","
			
				
					
					
						HelloI am facing an issue from last 4-5 days, where I am not able to access/read any old or new messages on my iPhone.I do get push notifications, but when I click on that it gives me the following error:serviceName: 'roomsDS', commandName: 'SubscribeUserToRoomHysCmd', error message: 'Subscription already exists for user: 1022506828844130304 org: 1025760316740759552 in room: room_c3b3abe3f60940e2a49b204da2078ce3'Please provide solution for this issue as it gets very hard to quickly reply back to my clients and it further slow down all the process to communicate with and update my clients.Hope to hear soon.ThanksHarman
					
				
			
			
				
			
			
				
			
			
			
			
			
			
		"
"
	Why am I still not getting my top rated badge?
","May 17, 2021  02:01:25 AM","
Hi!     I received my first top-rated badge a few months ago and lost it due to my past 12-months earning being less than $1000.  Meanwhile, I also started an agency and have been getting jobs through that. My problem is, On my personal account, my earnings are now above $1000 for a month but I still haven't received my badge.  Can I know the reason for this? Is it due to the fact that my new jobs are through my agency and not my own profile? or is it because my latest jobs haven't been closed and are still in progress.  Sincerely, Muhammad Ahmad Shah



					
						Solved!
					
					Go to Solution.



"
"
	How can my agency become top rated plus
","May 17, 2021  01:41:30 AM","
We have a solid background of work on Upwork with JSS 100%.90% of our contracts are long term and over $10K What are we missing though?  
"
"
	Questions about how an agency is working in Upwork
","May 14, 2021  09:44:46 AM","
Hey! I am a freelancer in Upwork. I would like to start an agency. In my vision I would like to have send offers for jobs on behalf of my agency and accept work for my agency. After accept the work I would like to assign 1 of my team members for the job. So basically I will be kind a job manager that will assign members within the agency for jobs that I will get for my agency. Is it possible to do that in any way? I understood that this kind of work may be possible on fixed price jobs and not hourly, is that right?Can I send offers as an agency or I need to do it as a freelancer in the agency?The feedback for the work will be on the agency profile or the freelancer profile? Thanks!
"
"
	Not able to submit proposal
","Feb 10, 2021  01:12:52 PM","
Hi, When I am trying to submit proposal a message is popping stating to update profile rate to $3/hour or more.However we already have an hourly rate of $20-$30/hour. Please help me as I am not able to submit any proposal. Regards, Shephali



					
						Solved!
					
					Go to Solution.



"
"
	Change transfer ownership of agency to another member
","May 20, 2020  09:46:25 AM","
Hi, I would like to transfer ownership to another account.
"
"
	Unable to close Agency ""Close all open proposals associated with the company"" but I don't have any
","Jun 21, 2017  10:10:18 AM","
I'm trying to close the Agency related to my profile and I keep getting the message:Close all open proposals associated with the company I have read the help related to the issue and I'm sure there are no proposals at all. I'm the only member as well. Thanks !



					
						Solved!
					
					Go to Solution.



"
"
	Transfer Upwork's Agency Ownership
","May 16, 2021  02:12:05 AM","
Hi there, I would like to transfer the ownership of an agency I set-up on Upwork to another colleague. Please can someone help me do this? Based on similar questions I can see in the community, a member of the support team will need to help with this. Thanks in advance
"
"
	Concern when a freelancer leave an agency
","May 15, 2021  01:14:00 PM","
Hi, May I know where the clients feedback go when a freelancer leave the agency?Same thing with the earnings of the freelancer. Will it be deducted to the total earning of the agency when the freelancer decided to leave the agency? And will it affect the JSS also?  Your insights/clarification will be much appreciated. Thank you. By the way I am the owner of the agency. Regards,Mary



					
						Solved!
					
					Go to Solution.



"
"
	In agency, how much do you pay your agencies members?
","May 15, 2021  10:48:23 AM","
I want to open an Website Design agency, how much should I take for a job?If the job is 250$ or 1000$ how much is tradionally accepted to divide the profits?Of course there are Upwork's fee, how much do you take as an agency owner for a freelancer job in the agency?
"
"
	Applying for job on behalf of agency team members
","Aug 30, 2019  03:23:55 AM","
Hi,I want to apply for jobs on upwork on behalf of agency's team members since I am working as Business Manager for them.Please advice on how should I proceed?  



					
						Solved!
					
					Go to Solution.



"
"
	Separate bank details for freelance profile and agency
","May 14, 2021  12:29:47 AM","
I have a freelancer account on Upwork and would like to have an agency too, in the name of my registered UK business.  I don't want the agency account to affect my freelancer account as I freelance separately from my business. 1. Is it possible to link my business bank account to agency account and leave my personal bank account linked to my private freelancer profile?2. Also, are the earnings for the agency and freelancer account separated?3. Is it a better idea to open a new account just for the agency?Any and all advice on how to go about keeping my freelancer account and agency account separate as well as the banking details (and how to do that) would be great.Thanks! :-)



					
						Solved!
					
					Go to Solution.



"
"
	Please verify my identity
","May 7, 2021  02:58:23 AM","
			
				
					
					
						My agency is a US person. I successfully completed W-9 for the US person, a domestic, C Corporation, incorporated in New York in 2016.But you won't allow my ID verification because I don't own a US passport, driver's license or state ID?I can't believe such discrimination still exists in the global marketplace of 2021. The US government has allowed me to incorporate a company without being a US citizen, but you guys are not? Please allow my verification with my ID issued by my country of residence.
					
				
			
			
				
			
			
				
			
			
			
			
			
			
		"
"
	Consist in several agensies
","May 13, 2021  10:48:24 PM","
If a freelancer has the opportunity to consist in 2 UpWork agencies at the same time without full admin status?
"
"
	How to purchase connections (Agency Account)
","May 12, 2021  11:59:47 PM","
Hi I want to purchase connections from Upwork. However, I cannot due the my profile not yet approved. Anyone can help me on this? Thanks  
"
"
	Invite new members to agency
","May 12, 2021  08:57:21 AM","
Hello. I want to invite freelancers to my agency. I have to fill in the form freelancers's Email Addresses or usernames. Where can I see their emails or usernames?
"
"
	Unable to close the agency
","Nov 20, 2020  04:50:22 AM","
Hello! I already withdraw my money, closed all proposals and removed all agency members, buy when I press ""close the agency"" it asks me password and load find jobs menu after that. So I am unable to close my agency. Why?



					
						Solved!
					
					Go to Solution.



"
"
	Project for few freelancers
","May 12, 2021  12:02:19 PM","
Hello. I have a client who has a project for me and 3 other freelancers. I have an agency, can a client create a project and invite all freelancers to one project through the agency? How to do it? If not, should the client create a separate project for each freelancer?



					
						Solved!
					
					Go to Solution.



"
"
	Transfer Individual Freelancer Work to Agency
","May 11, 2021  11:23:32 PM","
Hi!,I recently created an agency and I want to Transfer my current work/contracts to the agency. Is that possible, if yes how can i do it? 



					
						Solved!
					
					Go to Solution.



"
"
	Unable to make a payment for my Agency Subscription
","May 12, 2021  12:46:30 AM","
Hello,I am getting an Error: Your payment could not be processed. Please or retry again later.I am trying to make payment for my agency,I wish to start work with Upwork as an agency.RegardsBaji
"
"
	Leave an Agency
","Mar 15, 2021  12:18:39 AM","
Hey Team, I wanna leave an agency but whever I try, it shows the same that you have active contracts and proposals with them. But I checked it out I do'nt have active contracts. Please guide me how I can leave agency so I can continue my work. Waiting to hear back. Thanks
"
"
	Can't create Agency account. I only have Client and Freelancer options.
","May 11, 2021  12:44:22 PM","
Good day to the Support team! This topic has already been brought up many times but the links were not active anymore. I am trying to create an Agency profile but I only have the options to become a Freelancer and a Client. Could you please help with this issue?I attached the screenshot of the problem. Thank you!
"
"
	Unable to send Proposals
","May 11, 2021  12:45:34 PM","
Hi, I have been on and off working on upwork.My profile was recently changed to public.I am trying to send proposals but I am not able to. Can someone kindly help with it. Thanks
"
"
	Can't submit bids
","May 10, 2021  03:32:43 AM","
Hi - I have 60 connects but every time when I try to submit proposals - it says that I dont' have enough connects to bid.How it could be solved?
"
"
	Agency Profile and Freelancer Profile
","May 11, 2021  06:34:42 AM","
Hello everyone,  I've had a freelancer profile for 5 years now and things are going really well so I was thinking I should bring more people to the team and create an Agency Profile. So my question is this:  If I create an Agency Profile, will I still be able to act as a freelancer and use my Freelancer Profile? Or everything I do will be as an agency from the moment I create the agency profile?  I'm asking because I've read a lot of job postings where clients specifically say ""No Agencies"", and I still want to be able to apply for those jobs as an independant freelancer and not a part (or owner) of an agency.  Any information on this will be very helpful.  Thank you! 
"
"
	Can't create an Agency account
","Nov 6, 2020  05:41:10 AM","
Good day!I don't have ablility to create ""New Freelancer Agency Account"", only client account. Also,I tried to clean cache and cookies, and log in with another browser. Problem is not solved.In attachment you can find screenshot.Waiting for feedback.Thanks in advance.



					
						Solved!
					
					Go to Solution.



"
