"
	Contractor ended the contract, still shows as hired
","May 12, 2021  02:06:17 PM","
Hi, I reacently posted a job and hired a person. Somehow he ended the contract and messaged that he is not able move forward and ask someone for the task.Somhow he still shows as hired and post is marked for not to except new proposal. I do not see any option to unhire the person and make the post available to others. Please comment
"
"
	Cannot contact Upwork Support
","May 12, 2021  12:35:14 PM","
Hi there,The bot just says it's going to get contact options and tells me to refresh my page if I don't see anything. Been doing this for 24 hours, still cannot contact Upwork about my restricted account. Already added new payment methods as well. Thank you,
"
"
	Error message ""Milestone activation failed. Please contact customer support.""
","May 12, 2021  10:13:16 AM","
How do I contact customer support when there are zero ways to contact customer support? 
"
"
	How to pay directly from bank account (not USA)
","May 12, 2021  06:56:03 AM","
			
				
					
					
						 
					
				
			
			
				
			
			
				
			
			
			
			
			
			
		"
"
	Hire Notification probblem
","May 12, 2021  04:59:41 AM","
Hi there, I am a first-time client user of Upwork and I am trying to hire a freelancer for my job, however, every time I go to pay the money into the escrow holding account, I am notified with: 'You cannot join this team until the client adds a complete address. Please wait until the client does so'Please help me hire my freelancer.
"
"
	Unable to post a job
","May 11, 2021  10:47:19 PM","
When I try to post a job I get the error ""Forbidden. You do not have sufficient permissions to access this page."" 
"
"
	Creditcard expired, added new CC, but still can't post a new job (NO unpaid bills)
","May 12, 2021  02:04:30 AM","
Hi, maybe someone here can help.I can't use my account anymore, because it saysFinancial transactions for your company have been limited. and though I can't post a new job. The original Creditcard expired, so I added a new one.I followed this and that, but Upwork doesn't perform any transactions and so I can't verify the CC. Does anyone know how long this can take?Maybe someone reads my question here and triggers the transaction manually... 
"
"
	Freelancer outsourced the job to someone else? (to a non english speaker, work terrible) money lost?
","May 7, 2021  11:58:14 PM","
Hi. I am having a lot of issues at the moment with some work that recently got 'completed'. I am in disbelief at how this has been handled so far. I paid an individual freelancer $400 to complete a webpage. I left instructions and videos on what was required. The work was 'completed' numerous times. But ridden with errors every time. It was taking me longer to find and correct the careless errors than it would've done to complete the work myself.It turns out the freelancer has outsourced the work to non-English speakers that had a hard time reading and implementing what was required.A month late we still don't have a finished product, and the freelancer outsourced the work wasting time and energy.Now with the dispute... I have been told that I need to spend $300 for arbitration to have a 'chance' of getting my money back? Spending an additional $300 to get back the $400? This is absurd. The freelancer was a month late, outsourced the work, didn't complete the work and wants full payments plus I have to pay an additional $300 to challenge this? What is the best option here, I cannot believe this whole situation. Freelancer clearly violated TOS by outsourcing right? Plus the work is incomplete after me spending hours on revisions guidance etc. Would love to hear your thoughts.   
"
"
	Sudden Account Suspension
","May 11, 2021  08:38:17 PM","
hi, i am a client and have just hired a few talents. My account just got suspended. How can I please remedy this asap. The talents are freaking out. Also I don't recall receiving any messages or notification prior to suspension. This is all very very distruptive! And the chatbot is simply not useful. Pls pls can someone help urgently? Thank you!
"
"
	Top Rated freelancer searching for Permanent Client
","May 11, 2021  07:02:20 PM","
Hi, I am a top rated, working since 2015 but not having still any permanent job or client, as the Coivd-19 started I can't have any job still, submitting a lot of perposals, even my rate is very much low. I am in admin support.I like long term relationship so need a good and long term client. 
"
